 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
10149956;"DJ El Pulpo";"";"1";"0";"";"";"2022-10-09 00:00:00.0";"2022-10-09 23:59:00.0";"00:00";"Sesión musical";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=52edbd066a077510VgnVCM1000001d4a900aRCRD";"Fiestas del Barrio del Pilar 2019. Zona del Templete";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=04faa49464500510VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e537b503a71c010VgnVCM1000000b205a0aRCRD";"Auditorio al aire libre. Parque de la Vaguada";"0";"PASEO";"VAGUADA";"13";"FUENCARRAL-EL PARDO";"EL PILAR";"28029";"439712";"4481297";"40.48016602497203";"-3.7112978051427574";"/contenido/actividades/Fiestas";"";
11754621;"Domingos de cine";"";"1";"1";"D";"";"2022-09-04 00:00:00.0";"2022-12-18 23:59:00.0";"11:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3e34ba6cb2ee2810VgnVCM1000001d4a900aRCRD";"Domingos de cine";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d614ba6cb2ee2810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=83e748aaf535e710VgnVCM1000001d4a900aRCRD";"Biblioteca Pública Municipal San Fermín (Usera)";"1,5,6";"AVENIDA";"SAN FERMIN";"10";"USERA";"SAN FERMIN";"28041";"441188";"4469184";"40.3711623444796";"-3.692742821990015";"/contenido/actividades/CineActividadesAudiovisuales";"/usuario/Niños";
11693847;"Don Ramón María del Valle-Inclán";"De 6 a 22 euros";"0";"1";"M,X,J,V,S,D";"";"2023-03-02 00:00:00.0";"2023-04-09 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=480ed11e4daf0810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD";"Teatro Español";"1,6";"CALLE";"PRINCIPE";"25";"CENTRO";"CORTES";"28012";"440597";"4474036";"40.41482868269558";"-3.7001663599562105";"/contenido/actividades/TeatroPerformance";"";
11723012;"Dora García. El bicho";"";"0";"1";"J,V,S";"";"2022-10-06 00:00:00.0";"2022-10-08 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eacde1582f9a1810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro de Cultura Contemporánea Conde Duque";"1";"CALLE";"CONDE DUQUE";"9";"CENTRO";"UNIVERSIDAD";"28015";"439759";"4475508";"40.42802889001877";"-3.710182353581842";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
11787723;"Dorita perdió la nariz";"";"1";"0";"";"";"2022-10-15 00:00:00.0";"2022-10-15 23:59:00.0";"18:00";"Compañía Payasa Dorita.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8f8628370c283810VgnVCM2000001f4a900aRCRD";"Calle abierta infantil";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5e9c8445a8e2810VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesCalleArteUrbano";"/usuario/Niños";
11119850;"Dos lenguajes para celebrar el Arte";"";"1";"1";"L,M,X,J,V,S,D";"";"2022-10-04 00:00:00.0";"2022-10-30 23:59:00.0";"";"Exposición de pintura y escultura de José Manuel Ábalos y Lorna Benavides. Organiza: Asociación Española de Críticos de Arte (AECA). Comisaria: Manuela Ruiz Berrio. Sala ArteChamartín I.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=826214e8451ff610VgnVCM2000001f4a900aRCRD";"Exposiciones en el Centro Cultural Nicolás Salmerón";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=365cc78521f8a510VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee4a1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Nicolás Salmerón (Chamartín)";"1";"CALLE";"MANTUANO";"51";"CHAMARTIN";"CIUDAD JARDIN";"28002";"442656";"4477714";"40.44810636195716";"-3.6762309620097398";"/contenido/actividades/Exposiciones";"";
11741809;"Dos marinos en remojo, una zarzuela la mar de divertida";"";"1";"0";"";"";"2022-10-30 00:00:00.0";"2022-10-30 23:59:00.0";"18:00";"Zarzuela infantil con 'Zarzuguiñol'. En la obra se incluyen números de Zarzuelas ambientadas en el mar como Marina, La Tabernera del puerto, Los Gavilanes e incluye un fragmento de la obra 'Los lobos marinos' de Chapí (obra muy poco representada) junto con un fragmento de la obra 'Viaje a Cádiz', zarzuela infantil de la compositora Blanca Lozano de Mena, contribuyendo al rescate y a la difusión del repertorio infrecuente dentro del patrimonio lírico español. Sumérgete en estas divertidas aventuras, con el poder de la amistad y la zarzuela como protagonistas.  Espectáculo recomendado a partir de 3 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7ff0dcefa2952810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6089ba61e681c010VgnVCM1000000b205a0aRCRD";"Auditorio y sala de exposiciones Paco de Lucía (Latina)";"1";"AVENIDA";"LAS AGUILAS";"2";"LATINA";"LAS AGUILAS";"28044";"435330";"4470783";"40.38513183038149";"-3.761911556533903";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños";
11782080;"DOS ORILLAS";"";"1";"0";"";"";"2022-10-16 00:00:00.0";"2022-10-16 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c1b3ad6baf53810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0ecb1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Sociocultural Tetuán";"1";"CALLE";"BRAVO MURILLO";"251";"TETUAN";"BERRUGUETE";"28020";"440628";"4478947";"40.45907130615822";"-3.700271645324868";"/contenido/actividades/1ciudad21distritos";"";
11787166;"Dos por el precio de una (1995)";"";"1";"0";"";"";"2022-10-14 00:00:00.0";"2022-10-14 23:59:00.0";"18:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1eb828370c283810VgnVCM2000001f4a900aRCRD";"Cine en el Centro Cultural Dotacional Integrado de Arganzuela (octubre)";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5e5828370c283810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f9ea79262ef5d010VgnVCM1000000b205a0aRCRD";"Centro Cultural Dotacional Integrado Arganzuela";"1";"CALLE";"CANARIAS";"17";"ARGANZUELA";"PALOS DE MOGUER";"28045";"440979";"4472617";"40.40207279862862";"-3.6955325387824014";"/contenido/actividades/CineActividadesAudiovisuales";"";
11730919;"Dosis";"";"1";"0";"";"";"2022-10-21 00:00:00.0";"2022-10-21 23:59:00.0";"";"Un viaje por diferentes paisajes musicales, una voz cálida y una guitarra que dibujan un mapa de canciones, aderezadas con historias que nos harán revivir muchas emociones.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=553f527434ce1810VgnVCM2000001f4a900aRCRD";"Programa de actividades en el Centro Sociocultural Rosario de Acuña (Latina)";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=97a7b1a5e9470610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2bae598d1351c010VgnVCM1000000b205a0aRCRD";"Centro Sociocultural Rosario de Acuña (Latina)";"1";"CALLE";"MARIA DEL CARMEN";"65";"LATINA";"PUERTA DEL ANGEL";"28011";"437830";"4473132";"40.40647389284976";"-3.7327010920242043";"/contenido/actividades/Musica";"";
11784233;"Drockula";"12 euros por persona (más gastos de gestión). Sólo se devolverá el importe de la matrícula en caso de que la organización cancele la actividad.";"0";"0";"";"";"2022-11-05 00:00:00.0";"2022-11-05 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5bf1e40e35a63810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471394";"40.391054868587204";"-3.6958072892892155";"";"";
11784469;"D'artacan y los 3 Mosqueperros";"";"1";"0";"";"";"2022-10-29 00:00:00.0";"2022-10-29 23:59:00.0";"12:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=01dd296b97873810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3073d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural el Torito (Moratalaz)";"1";"AVENIDA";"MORATALAZ";"130";"MORATALAZ";"VINATEROS";"28030";"445141";"4473033";"40.40609591857167";"-3.646536107063507";"/contenido/actividades/CineActividadesAudiovisuales";"/usuario/Niños,/usuario/Familias";
11754297;"Día de la Fiesta Nacional";"";"1";"0";"";"";"2022-10-12 00:00:00.0";"2022-10-12 23:59:00.0";"12:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=252254414d9e2810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0dabd0b2571d1610VgnVCM1000001d4a900aRCRD";"Auditorio Municipal al aire libre Lola Camarena";"1";"AVENIDA";"LA GAVIA";"13";"VILLA DE VALLECAS";"ENSANCHE DE VALLECAS";"28051";"448205";"4469500";"40.37447621683769";"-3.6101291550314283";"/contenido/actividades/ActividadesCalleArteUrbano";"";
