Codigo de hidrante;Distrito;Tipo de Calle;Direccion;Nº;CoordX ETRS89;CoordY ETRS89;Longitud;Latitud;direccion_completa
HI_01_0044;CENTRO;CALLE;MANUELA MALASAÃ‘A;6;440356,91;4475572,4;-3.7031401;40.4286511;CALLE MANUELA MALASAÃ‘A, 6
HI_01_0045;CENTRO;CALLE;CHURRUCA;29;440502,77;4475568,36;-3.7014203;40.4286251;CALLE CHURRUCA, 29
HI_01_0046;CENTRO;CALLE;APODACA;5;440543,75;4475428,19;-3.7009241;40.4273653;CALLE APODACA, 5
HI_01_0047;CENTRO;CALLE;CHURRUCA;2;440569,79;4475367,58;-3.7006115;40.4268212;CALLE CHURRUCA, 2
HI_01_0048;CENTRO;CALLE;BARCELO;2;440641,86;4475350,42;-3.6997603;40.4266717;CALLE BARCELO, 2
HI_01_0049;CENTRO;CALLE;APODACA;15;440678,77;4475439,55;-3.6993335;40.4274773;CALLE APODACA, 15
HI_01_0050;CENTRO;CALLE;HERMANOS ALVAREZ QUINTERO;8;440863,52;4475469,54;-3.6971585;40.4277606;CALLE HERMANOS ALVAREZ QUINTERO, 8
HI_01_0051;CENTRO;CALLE;SERRANO ANGUITA;13;440695,26;4475495,17;-3.6991443;40.4279795;CALLE SERRANO ANGUITA, 13
HI_01_0052;CENTRO;CALLE;SERRANO ANGUITA;3;440815,26;4475398,14;-3.6977207;40.427114;CALLE SERRANO ANGUITA, 3
HI_01_0053;CENTRO;CALLE;GENOVA;18;441162,62;4475320,08;-3.6936188;40.4264354;CALLE GENOVA, 18
HI_01_0054;CENTRO;CALLE;LIMON;10;439719,9;4475303,01;-3.7106238;40.4261784;CALLE LIMON, 10
HI_01_0055;CENTRO;CALLE;SEMINARIO DE NOBLES;4;439480,24;4475530,49;-3.7134706;40.4282102;CALLE SEMINARIO DE NOBLES, 4
HI_01_0056;CENTRO;CALLE;SAN VICENTE FERRER;13;440413,14;4475233,41;-3.7024455;40.4256013;CALLE SAN VICENTE FERRER, 13
HI_01_0057;CENTRO;CALLE;SANTA CRUZ DE MARCENADO;36;439432,2;4475725,31;-3.7140554;40.4299617;CALLE SANTA CRUZ DE MARCENADO, 36
HI_01_0058;CENTRO;CALLE;SANTA CRUZ DE MARCENADO;13;439860,35;4475585,72;-3.708995;40.4287353;CALLE SANTA CRUZ DE MARCENADO, 13
HI_01_0061;CENTRO;CALLE;SEGOVIA;29;439336,34;4473934,32;-3.7150146;40.4138207;CALLE SEGOVIA, 29
HI_01_0062;CENTRO;CARRERA;SAN FRANCISCO;16;439454,7;4473595,45;-3.7135874;40.4107766;CARRERA SAN FRANCISCO, 16
HI_01_0063;CENTRO;CALLE;TOLEDO;78;439741,46;4473421,44;-3.7101914;40.4092299;CALLE TOLEDO, 78
HI_01_0064;CENTRO;CALLE;CALATRAVA;44;439449,85;4473565,12;-3.7136417;40.4105031;CALLE CALATRAVA, 44
HI_01_0065;CENTRO;CALLE;CAPITAN SALAZAR MARTINEZ;9;439748,25;4473223,95;-3.7100927;40.4074513;CALLE CAPITAN SALAZAR MARTINEZ, 9
HI_01_0066;CENTRO;PLAZA;CAMPILLO DEL MUNDO NUEVO;4;439927,45;4473089,39;-3.7079682;40.4062521;PLAZA CAMPILLO DEL MUNDO NUEVO, 4
HI_01_0067;CENTRO;CALLE;CARLOS ARNICHES;1;439892,73;4473396,74;-3.7084064;40.4090183;CALLE CARLOS ARNICHES, 1
HI_01_0068;CENTRO;RONDA;SEGOVIA;69;439482,6;4473221,45;-3.713223;40.4074095;RONDA SEGOVIA, 69
HI_01_0069;CENTRO;RONDA;TOLEDO;1;439665,56;4473141,93;-3.7110594;40.4067064;RONDA TOLEDO, 1
HI_01_0070;CENTRO;RONDA;TOLEDO;7;440046,91;4473038,67;-3.7065557;40.4058038;RONDA TOLEDO, 7
HI_01_0071;CENTRO;GLORIETA;EMBAJADORES;10;440342,18;4472988,46;-3.7030714;40.4053727;GLORIETA EMBAJADORES, 10
HI_01_0072;CENTRO;CALLE;EMBAJADORES;15;440121,01;4473430,69;-3.7057193;40.4093406;CALLE EMBAJADORES, 15
HI_01_0073;CENTRO;CALLE;MIRA EL SOL;19;440012,17;4473182,82;-3.7069786;40.4070998;CALLE MIRA EL SOL, 19
HI_01_0074;CENTRO;CALLE;EMBAJADORES;41;440265,31;4473239,62;-3.7040008;40.4076297;CALLE EMBAJADORES, 41
HI_01_0075;CENTRO;CALLE;VALENCIA;13;440604,95;4473170,9;-3.6999919;40.4070349;CALLE VALENCIA, 13
HI_01_0076;CENTRO;RONDA;ATOCHA;12A;440915,02;4473149,77;-3.6963359;40.4068667;RONDA ATOCHA, 12A
HI_01_0077;CENTRO;CALLE;AMPARO;51;440379,73;4473410,68;-3.7026685;40.4091789;CALLE AMPARO, 51
HI_01_0078;CENTRO;CARRERA;SAN FRANCISCO;2;439635,17;4473665,21;-3.7114672;40.4114182;CARRERA SAN FRANCISCO, 2
HI_01_0079;CENTRO;CALLE;AMPARO;102;440584,81;4473048,09;-3.7002178;40.4059272;CALLE AMPARO, 102
HI_01_0080;CENTRO;CALLE;AVE MARIA;27;440536,72;4473553,53;-3.7008317;40.410477;CALLE AVE MARIA, 27
HI_01_0081;CENTRO;CALLE;PRIMAVERA;14;440567,6;4473400,44;-3.7004535;40.4091001;CALLE PRIMAVERA, 14
HI_01_0082;CENTRO;CUESTA;SAN VICENTE;44;438937,99;4474628,29;-3.7197761;40.4200432;CUESTA SAN VICENTE, 44
HI_01_0083;CENTRO;CALLE;MIRA EL RIO BAJA;20;439883,07;4473162,48;-3.7084981;40.4069073;CALLE MIRA EL RIO BAJA, 20
HI_01_0084;CENTRO;PLAZA;CAMPILLO DEL MUNDO NUEVO;6;439813,47;4473133,69;-3.7093156;40.4066429;PLAZA CAMPILLO DEL MUNDO NUEVO, 6
HI_01_0085;CENTRO;CALLE;SANTIAGO EL VERDE;2;440159,07;4473277,75;-3.7052564;40.4079656;CALLE SANTIAGO EL VERDE, 2
HI_01_0086;CENTRO;CALLE;SANTIAGO EL VERDE;7;440181,83;4473232,05;-3.7049839;40.4075555;CALLE SANTIAGO EL VERDE, 7
HI_01_0087;CENTRO;CALLE;HUERTA DEL BAYO;7;440139,14;4473269,91;-3.7054906;40.4078935;CALLE HUERTA DEL BAYO, 7
HI_01_0088;CENTRO;CALLE;PEÃ‘A DE FRANCIA;14;440088,29;4473122,92;-3.706076;40.4065657;CALLE PEÃ‘A DE FRANCIA, 14
